,Nearest Neighbour,Farthest Neighbour,Google OR,random,Nearest insertion,Model,Optimal
0,1.2356215722314003,2.300289969104283,1.0,1.6778144118613092,1.3914209452980582,1.2337445956326452,2.871957566450436
1,1.0806527482291106,2.620265138452967,1.0,1.9181649569403236,1.3444702314527486,1.2345063377742607,2.8034375306492856
2,1.2394864707810433,2.6923823189383045,1.0,2.0233335765090645,1.1143776177856877,1.2480342266921036,2.6478823699084075
3,1.0,2.448023476971267,1.0,1.6821870984549725,1.8579797086238405,1.061621531810439,2.9472704217742876
4,1.3123501457123803,2.1247063552567944,1.0,1.654959699751997,1.399550816615199,1.0,2.8326186698950413
5,1.0,2.5819211255101604,1.0,1.9387590855067356,1.1850011589527414,1.0167908816528006,3.2455035806045016
6,1.2780667457067747,2.0256952829221064,1.0,1.831459475191687,1.1874213893850043,1.0565331914722904,2.9029432446741055
7,1.3228483944186824,1.9295250722827215,1.0,1.5849208475374057,1.619581399413585,1.094710325570521,2.9293322820879415
8,1.2299783188155804,1.8642421127002455,1.0,1.5784654037998147,1.3258408033994782,1.1877170641859993,3.2496293910576717
9,1.1822625781153508,2.9842324975209,1.0,2.145004778332543,1.4323569422243612,1.0,3.196357331384104
10,1.1201209213261998,2.6899097025104433,1.0,1.620010228483481,1.1971292008232406,1.000426227203481,3.1003156649000356
11,1.1002106905241678,2.2438577240173565,1.0000000000000002,1.7107030534397096,1.139232713311095,1.0000000000000002,3.354885148916506
12,1.0850071572962725,2.8179999510086944,1.0,2.2517189585726354,1.7324493378860404,1.0486087577231409,2.7661051403653643
13,1.108022740106284,2.8385677726553276,1.0,1.80983924827647,1.338253843912722,1.112519600260399,3.1375021269910706
14,1.1350228218888765,2.1498116655751955,1.0,1.5316728942083082,1.3549668776841688,1.0881235784729952,3.4780758885313023
15,1.184124936734862,2.6438856060894436,1.0,2.3374574323018362,1.2455999485464018,1.0829852811446572,2.8638302569214567
16,1.1576191946299377,2.9856367655872367,1.0,2.0365982815255133,1.0419154629354763,1.0,2.429613254895461
17,1.0340856156968612,2.3321493022521715,1.0,1.8052892326251466,1.9034056350276278,1.0303755757752013,3.3500131589972035
18,1.112942517445564,2.785883400741333,1.0,2.259538862192715,1.1933853941507488,1.2490717242218379,2.546779444882276
19,1.1270190934912627,2.7320563405128935,1.0,2.071599181023821,1.1399522860649742,1.0799793853681772,2.7592258754596126
20,1.015072585463054,2.466371223813974,1.0,1.7109351302953268,1.141353079062886,1.1473616637497694,3.1431822219522436
21,1.1850619174071266,2.4908099295772397,1.0,1.9631371183625597,1.4726654782991657,1.0118992933165087,3.017284555583859
22,1.0000000000000002,2.325863671267199,1.0000000000000002,2.2805433063372784,1.4424994498436787,1.0000000000000002,2.9741251115009
23,1.043024816825725,2.359234798012289,1.0,1.9088017801421997,1.6478536566080981,1.0394138493861882,3.3909322644688893
24,1.1964538047023534,2.657561176537503,1.0,1.9475511202412372,1.8098726806069723,1.0817647859127666,1.950513408696211
25,1.1129578950650745,2.231867419144863,1.0,1.8589004380606138,1.2572135347053508,1.3612017163077224,2.5814509964826633
26,1.0,2.2555777925840172,1.0,1.6924597089153923,1.331198372170655,1.0961336706747717,3.646000511987893
27,1.0096896499656447,2.6592236052824276,1.0,1.2243633043243982,1.3803666418421563,1.368392583570883,2.585444914045049
28,1.0682068004980965,2.7044156984586274,1.0,2.241580086710369,1.458495912504041,1.0012888050783493,2.9757002118981393
29,1.0993979681342896,2.3057599731064196,1.0,2.070051516154066,1.4652118399457188,1.0521427627614237,3.072330455177908
30,1.2692251543784387,2.1659464023028088,1.0,1.765552762274088,1.2651776770065508,1.0317371368927528,2.9672866279900125
31,1.1794539543963118,2.482287700272795,1.0,2.0388221660273884,1.179453954396312,1.1186430657626762,3.0442924655037857
32,1.050995546807599,2.5597824696481952,1.0000000000000002,1.9245138925765557,1.4847262456648098,1.0000000000000002,2.8717038924677665
33,1.1630054757127712,2.0663703312840016,1.0,1.4856509032427536,1.2209143416293495,1.1073235159339572,3.6820641475202955
34,1.0921287612705066,2.203945827988562,1.0,2.0965035737786883,1.6994283322158459,1.0153764582463516,2.7654942862621543
35,1.2517937719608643,2.4070309001156964,1.0,2.1073645309577773,1.3526657539842823,1.023168802413457,3.2823564965955794
36,1.0463041752099695,2.6918776838422738,1.0,1.7982988695434208,1.6060094846221293,1.3432825462916922,3.0343572979712694
37,1.040515673840254,2.4278311277521016,1.0,2.3527649351252293,1.3476890339118672,1.0,3.0454663006594296
38,1.1198391532457574,2.473007656226613,1.0,1.7770852102938732,1.6132001346682645,1.004365530346262,2.9564513606118683
39,1.025043917804339,2.789895285043517,1.0,1.8170524189869774,1.475166456758887,1.025043917804339,2.7702487813264636
40,1.097801059256147,2.693287119913004,1.0,1.6710958533642086,1.2371750755179722,1.0511888615613045,3.0256866036450005
41,1.0629210732026966,3.1290051555612024,1.0,2.251879116189265,1.174943606569785,1.076738923167746,2.930019703136521
42,1.0278287133335269,2.3087703993837474,1.0,2.0964516234952724,1.6328517237274538,1.0,2.8258626364445667
43,1.145929876152993,1.8505852755315075,1.011758834680198,1.550936806492242,1.185717964211204,1.271328068850253,3.0464246998289255
44,1.2448411834003632,2.133346931253315,1.0,1.8254499220273819,1.483776112372556,1.3176885076755511,2.835589279107798
45,1.0218136018695925,2.037439273132666,1.0,1.682219198057345,1.3601531849062485,1.268173523983164,2.8843131165626223
46,1.0396473911361075,2.297073393539775,1.0,1.897256625630451,1.2234612270296994,1.0293571855979577,2.462101195590929
47,1.129681230837045,2.502971096739767,1.0,1.37943801049262,1.40637393611638,1.1617850576277848,2.526059488312162
48,1.0121604991350732,2.795064164484888,1.0,2.359773532830277,1.321144513969799,1.049572768055206,2.801687369640519
49,1.0951992862060078,1.8460069856530856,1.0,1.690566495607072,1.2261627108411275,1.0261684345583462,3.0302010526644
50,1.1286742934432465,2.2517016927179365,1.0,1.8398410529712543,1.6757136886019668,1.058737003962607,2.6633647005135948
51,1.1405788496772407,2.9142711648218858,1.0,2.3924360340752093,1.3003639751653686,1.1190540725236005,2.6723344032037892
52,1.1240971380699811,2.417253875209194,1.0,1.8273612929617462,1.2338755331769227,1.0456322497902293,2.871106893789046
53,1.0695305680040137,2.524801703860955,1.0,2.0271864834059103,1.352895193796002,1.0578754977041442,2.8609324249331847
54,1.1125247281925466,3.299075017975312,1.0,2.3164187656189377,1.1504985438826134,1.2848016026222715,2.585058050534275
55,1.0,2.8135467615285936,1.0,2.267741344191412,1.421931509840894,1.0,2.9803686126569673
56,1.1002366387543376,2.4756489175517133,1.0,1.7270102004333243,1.3104095693090585,1.156144782102899,3.0677986938045083
57,1.0563562020616366,2.3442918814928237,1.0,1.981171327502497,1.398808164972798,1.000754846871701,2.8819602064797367
58,1.0782496667797898,1.924911337507963,1.0,1.5422506721146556,1.413129387575577,1.1095310995161378,3.462946376065193
59,1.3249195621798557,2.3126845485069945,1.0,1.7743566566290325,1.6615104249524117,0.9999999999999997,2.5662999822320276
60,1.1103498522026354,2.364680830155798,1.0,1.760300814055644,2.0055185796195074,1.0737582053600476,3.0132878966995507
61,1.2023516547095356,2.4915434239651986,1.0,2.2934179277304274,1.4955361050785672,1.0807782052202626,3.170294604291578
62,1.2489986974257044,2.7915221765444533,1.0,2.54558512534796,1.3698092150636543,1.0266996905931318,3.215667716316876
63,1.0,2.6149333830793817,1.0,2.204644085385605,1.5399503032951976,1.0,2.731055052390709
64,1.0015651895053033,2.6396602005529917,1.0,1.7468949649211114,1.269973179605801,1.1353303838719138,2.904520617424668
65,1.0771437235777885,2.4996538286097794,1.0,1.6753296279074823,1.3894866913469013,1.2906446257424575,3.2054508710739973
66,1.2293128256818064,2.4183923477695086,1.0,2.1164939044471245,1.2704146518900632,1.0683739780305699,2.8436274267927493
67,1.01670093801346,2.6012629572913593,1.0,2.2204380197554006,1.4338932873064858,1.01670093801346,2.993007454723841
