,Nearest Neighbour,Farthest Neighbour,Google OR,random,Nearest insertion,Model,Optimal
0,1.1838980167158846,1.9920864758569155,1.0,1.5945286309970927,1.3724192655508518,1.0696343108639688,2.4780828742727534
1,1.0323419464051118,2.076750020773935,1.0,1.5620123580764729,1.1863408316233537,1.1848876362428098,2.3798115078121005
2,1.0284512264505254,1.9403469718244828,1.0,1.6158141966918698,1.3390673784245852,1.0518796069709704,3.362789333176611
3,1.0462263315954587,1.7176783568581666,1.0,1.448633114014062,1.0893752862149257,1.1367183106628518,2.5723129503529156
4,1.0127535253007505,2.269282811302806,1.0,1.6212035623260903,1.7185680410349449,1.351490276258623,2.313279975947144
5,1.1252610641074436,2.065755221485673,1.0,1.484183720578137,1.3675494446347967,1.0,2.365815150095979
6,1.1513081702264316,1.7013023172540116,1.0,1.4344368004890304,1.2899038896281765,1.0,3.1871398889019757
7,1.0,1.8563302353018587,1.0,1.5186629638342641,1.3377677172572675,1.008650429350703,2.6653303526721133
8,1.122265259169403,2.1655761633249333,1.0,1.628139794337825,1.355666379104018,1.182645192498117,3.0680751132600013
9,1.005864900546547,1.759026993824486,1.0,1.6946812965465867,1.540662726762824,1.0214113215338783,3.368178725227549
10,1.0993895143221795,2.1805997551860314,1.0000000000000002,1.6703212450834406,1.0000000000000002,1.0000000000000002,2.6026043603197047
11,1.108960544079986,1.8403502925804127,1.0,1.0866994391328662,1.112318197566915,1.1367123075870778,2.843008882987393
12,1.1608638870494843,1.6918919591192128,1.0,1.6051900591039197,1.5180229122623556,1.0097389110207453,1.8309227555701506
13,1.0,1.8217888154843442,1.0,1.4809159117792376,1.3934661286013987,1.026721491073495,2.3680381180238284
14,1.0,2.0358437139888226,1.0,1.5221731253794515,1.2467017763154356,1.2133441084581258,2.8015561362014214
15,1.0,2.1639341163190258,1.0,1.7411713624640104,1.2726145280648598,1.333866428031173,2.4684637462402095
16,1.0838453156615417,1.9737283039440474,1.0,1.574228059379156,1.169068349368587,1.0662927563831268,2.1046830755705535
17,1.0,2.0955916327540205,1.0,1.829906657324807,1.7547018237975638,1.0453926955699557,2.1725860958239656
18,1.0000000000000002,1.883867621738813,1.0000000000000002,1.6420083754988897,1.5304363141367938,1.2011744547493026,2.8285044563165935
19,1.0311904387632198,1.8531988893451712,1.0,1.5971316386700065,1.351445935565889,1.0,3.0167894636647152
20,1.042869600601695,2.001224399920983,1.0,1.43233117113958,1.3412958024006056,1.0,2.6907198869300353
21,1.1386678297948432,2.0992517883971096,1.0,1.9228975644372446,1.206725444122475,1.2739389546244095,2.6568537790259334
